Strain,ST,ST_to_plot,CG_to_plot,carb_to_plot,Meropenem_MIC,ompK35_functionality,ompK36_functionality,Colistin_resistance,Col,Omp,Omp_simplified,Bla_carb,Bla_carb_simplified
EuSCAPE_PL034,ST15,ST15,CG14/15,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_SK005,ST15,ST15,CG14/15,-,0.06,Non-functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_PL041,ST15,ST15,CG14/15,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_PL042,ST15,ST15,CG14/15,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_DE086,ST15,ST15,CG14/15,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_ME001,ST15,ST15,CG14/15,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_IT089,ST15,ST15,CG14/15,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_IT198,ST15,ST15,CG14/15,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_IT391,ST15,ST15,CG14/15,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_IT399,ST15,ST15,CG14/15,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_HU044,ST15,ST15,CG14/15,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_HU050,ST15,ST15,CG14/15,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_RO032,ST15,ST15,CG14/15,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_RS011,ST15,ST15,CG14/15,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_HR035,ST15,ST15,CG14/15,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_HR038,ST15,ST15,CG14/15,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_HR072,ST15,ST15,CG14/15,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
EuSCAPE_IE029,ST15,ST15,CG14/15,-,0.06,Functional,Functional,Sensitive,-,-,-,-,wt
EuSCAPE_BE036,ST15,ST15,CG14/15,-,0.06,Functional,Functional,Unknown,-,-,-,-,wt
