"ST" "mean_vir" "mean_res" "total"
"519" "ST372-1LV" 0 0 3
"520" "ST373" 1 0 1
"521" "ST375" 2.09090909090909 0 11
"522" "ST376" 0 2 1
"523" "ST377" 0 1 2
"524" "ST377-1LV" 0 0 1
"525" "ST378" 0 0 2
"526" "ST378-1LV" 0 0 2
"527" "ST379" 0 2 4
"528" "ST379-3LV" 0 1 1
"529" "ST38" 0 0.666666666666667 3
"530" "ST380" 4.07692307692308 0 13
"531" "ST380-1LV" 5 0 1
"532" "ST380-3LV" 4 0 1
"533" "ST381" 4 0 2
"534" "ST382" 5 1 1
"535" "ST386" 0 0 1
"536" "ST386-3LV" 0 0 1
"537" "ST389" 0 1 1
"538" "ST39" 0.3 0.5 10
"539" "ST391" 1 1 3
"540" "ST392" 0 1.22222222222222 9
"541" "ST394" 0.666666666666667 1 3
"542" "ST395" 0 1.42857142857143 7
"543" "ST397" 0.333333333333333 0.333333333333333 3
"544" "ST399" 0 1 2
"545" "ST4" 1 1 2
"546" "ST405" 0.857142857142857 0.714285714285714 7
"547" "ST409" 0 1 2
"548" "ST41-3LV" 0 0 1
"549" "ST412" 0.666666666666667 0.166666666666667 6
"550" "ST415-4LV" 0 0 1
"551" "ST416" 0.333333333333333 0.666666666666667 9
"552" "ST418" 1 1.5 2
"553" "ST42" 0 0.9 10
"554" "ST420" 2.66666666666667 0.666666666666667 3
"555" "ST420-1LV" 4 0 1
"556" "ST423" 0 0 1
"557" "ST43" 0.230769230769231 0.692307692307692 13
"558" "ST43-1LV" 3 0 2
"559" "ST432" 0 0.5 2
"560" "ST433-1LV" 0 1 1
"561" "ST435" 3 1 1
"562" "ST435-3LV" 3 0 1
"563" "ST437" 0.636363636363636 1.45454545454545 11
"564" "ST437-1LV" 0 1 1
"565" "ST437-3LV" 0 1 1
"566" "ST44" 0 0 1
"567" "ST441" 0.333333333333333 1 3
"568" "ST442" 0.666666666666667 1.33333333333333 3
"569" "ST443-1LV" 0 0 1
"570" "ST447-2LV" 0 0 3
"571" "ST447-4LV" 0 0 1
"572" "ST448" 0 0 1
"573" "ST449" 1 0 1
"574" "ST449-1LV" 1 1 1
"575" "ST45" 0.903846153846154 0.480769230769231 52
"576" "ST45-1LV" 1.11111111111111 0.777777777777778 9
"577" "ST45-2LV" 0 0 1
"578" "ST454" 0 0 1
"579" "ST458" 0 0 1
"580" "ST460" 0 0 1
"581" "ST461" 0 0 9
"582" "ST462" 0 0 1
"583" "ST463" 0 0 1
"584" "ST465" 0 0 1
"585" "ST466" 1 0 5
"586" "ST471" 0.5 1 2
"587" "ST473-3LV" 2.5 0 2
"588" "ST474" 0 1 1
"589" "ST478" 0 0 1
"590" "ST48" 1.08823529411765 0.691176470588235 68
"591" "ST482" 0 1 1
"592" "ST483-2LV" 1 1 1
"593" "ST485" 0.4 0.6 5
"594" "ST487-1LV" 0 0 1
"595" "ST490" 0 0.882352941176471 17
"596" "ST491" 0 1 4
"597" "ST492" 0 0.5 4
"598" "ST493" 1 0 2
"599" "ST495" 0 1 2
"600" "ST495-1LV" 0 1 1
"601" "ST499" 1 0 1
"602" "ST5" 4 0 1
"603" "ST500" 0 0 2
"604" "ST502" 1 0 1
"605" "ST502-1LV" 0 0 3
"606" "ST503-1LV" 0 1 1
"607" "ST504" 0 1 1
"608" "ST505" 0 0 1
"609" "ST507" 0 0 1
"610" "ST508-1LV" 0 1 1
"611" "ST512" 0 2.29411764705882 68
"612" "ST514" 0 1 1
"613" "ST515" 0 0 2
"614" "ST520" 0 0.5 2
"615" "ST527-2LV" 0 0 3
"616" "ST530" 0 0 1
"617" "ST537" 0 0 1
"618" "ST54" 0 0.777777777777778 9
"619" "ST54-1LV" 0 1 1
"620" "ST540" 0 0.833333333333333 6
"621" "ST541-1LV" 0 1 1
"622" "ST549-3LV" 0 0 1
"623" "ST550-1LV" 0 0 1
"624" "ST551" 0 1 5
"625" "ST559" 4 0 1
"626" "ST56-2LV" 0 1 1
"627" "ST560" 0 0.5 2
"628" "ST561" 0 1 1
"629" "ST562" 1 0 1
"630" "ST563" 0 1 1
"631" "ST564" 1 1 1
"632" "ST565-2LV" 1 0 1
"633" "ST57" 5 0 1
"634" "ST57-1LV" 5 0 1
"635" "ST584" 0 0.5 4
"636" "ST586-1LV" 0 0 1
"637" "ST587" 0 0 1
"638" "ST592" 3 0 4
"639" "ST592-1LV" 3 0 2
"640" "ST594" 0 0 1
"641" "ST596" 0 0 3
"642" "ST6" 0.666666666666667 0 3
"643" "ST60" 1 0 5
"644" "ST60-1LV" 1 0 1
"645" "ST60-2LV" 0 2 1
"646" "ST601" 0 0 1
"647" "ST603" 0.5 0 2
"648" "ST605" 0 0 1
"649" "ST607" 0 0 2
"650" "ST610" 1 0 1
"651" "ST611" 0 1 1
"652" "ST616" 0 0 2
"653" "ST62" 1 0 1
"654" "ST627" 1 1 1
"655" "ST628" 0 1 2
"656" "ST628-1LV" 0.5 0 2
"657" "ST629" 0 0 4
"658" "ST629-1LV" 0 0 2
"659" "ST63-2LV" 0 1 1
"660" "ST639-1LV" 0 0 1
"661" "ST641" 0 0 6
"662" "ST641-1LV" 0 0 1
"663" "ST643" 0 0 1
"664" "ST643-1LV" 0 0 1
"665" "ST65" 3.5 0.2 10
"666" "ST65-1LV" 4.5 0 4
"667" "ST656" 1 0.75 4
"668" "ST659" 0 1 1
"669" "ST659-2LV" 0 1 1
"670" "ST66" 5 0 3
"671" "ST66-1LV" 0 0 2
"672" "ST660" 4 0 1
"673" "ST661" 0.3125 1 16
"674" "ST661-1LV" 0.333333333333333 1 3
"675" "ST662-1LV" 0 0 1
"676" "ST664" 0 0 2
"677" "ST67" 3.77777777777778 0 9
"678" "ST67-2LV" 4 0 1
