Strain,ST,ST_to_plot,CG_to_plot,carb_to_plot,Meropenem_MIC,ompK35_functionality,ompK36_functionality,Colistin_resistance,Col,Omp,Bla_carb
EuSCAPE_SK006,ST11,ST11,CG258,-,2,Functional,Non-functional,Sensitive,-,OmpK36-0%,-
EuSCAPE_SK018,ST11,ST11,CG258,-,2,Functional,Non-functional,Sensitive,-,OmpK36-78%,-
EuSCAPE_SK002,ST11,ST11,CG258,-,4,Functional,Non-functional,Sensitive,-,OmpK36-15%,-
EuSCAPE_SK024,ST11,ST11,CG258,-,4,Non-functional,Non-functional,Sensitive,-,OmpK35-59%;OmpK36-0%,-
EuSCAPE_SK034,ST11,ST11,CG258,-,4,Functional,Functional,Sensitive,-,OmpK36-0%,-
EuSCAPE_SK031,ST11,ST11,CG258,-,4,Functional,Non-functional,Sensitive,-,OmpK36-0%,-
EuSCAPE_SK008,ST11,ST11,CG258,-,4,Functional,Non-functional,Sensitive,-,OmpK36-7%,-
EuSCAPE_CZ016,ST11,ST11,CG258,-,4,Functional,Functional,Sensitive,-,-,-
EuSCAPE_AT002,ST11,ST11,CG258,-,8,Functional,Non-functional,Sensitive,-,OmpK36-21%,-
EuSCAPE_AT006,ST11,ST11,CG258,-,8,Functional,Non-functional,Sensitive,-,OmpK36-21%,-
EuSCAPE_SK030,ST11,ST11,CG258,-,8,Functional,Non-functional,Sensitive,-,-,-
EuSCAPE_SK046,ST11,ST11,CG258,-,8,Non-functional,Non-functional,Sensitive,-,OmpK35-59%;OmpK36-75%,-
EuSCAPE_PL016,ST11,ST11,CG258,-,8,Functional,Non-functional,Resistant,-,-,-
EuSCAPE_DE059,ST11,ST11,CG258,-,8,Functional,Functional,Sensitive,-,-,-
EuSCAPE_ES061,ST11,ST11,CG258,-,8,Non-functional,Functional,Sensitive,-,OmpK35-67%,-
EuSCAPE_AT032,ST11,ST11,CG258,-,0.06,Non-functional,Functional,Sensitive,-,OmpK35-40%,-
EuSCAPE_PL002,ST11,ST11,CG258,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_PL008,ST11,ST11,CG258,-,0.06,Functional,Functional,Sensitive,-,-,-
EuSCAPE_PL019,ST11,ST11,CG258,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_PL021,ST11,ST11,CG258,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_PL050,ST11,ST11,CG258,-,0.06,Functional,Functional,Sensitive,-,-,-
EuSCAPE_PL052,ST11,ST11,CG258,-,0.06,Functional,Functional,Sensitive,-,-,-
EuSCAPE_PL054,ST11,ST11,CG258,-,0.06,Functional,Functional,Resistant,-,-,-
EuSCAPE_FR008,ST11,ST11,CG258,-,0.06,Functional,Functional,Sensitive,-,-,-
EuSCAPE_SK001,ST11,ST11,CG258,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_SK003,ST11,ST11,CG258,-,0.06,Non-functional,Functional,Sensitive,-,OmpK35-59%,-
EuSCAPE_SK004,ST11,ST11,CG258,-,0.06,Functional,Functional,Sensitive,-,-,-
EuSCAPE_SK009,ST11,ST11,CG258,-,0.06,Functional,Functional,Sensitive,-,-,-
EuSCAPE_SK010,ST11,ST11,CG258,-,0.06,Functional,Functional,Sensitive,-,-,-
EuSCAPE_SK011,ST11,ST11,CG258,-,0.06,Functional,Functional,Sensitive,-,-,-
EuSCAPE_SK016,ST11,ST11,CG258,-,0.06,Functional,Functional,Sensitive,-,-,-
EuSCAPE_SK022,ST11,ST11,CG258,-,0.06,Functional,Functional,Sensitive,-,-,-
EuSCAPE_SK025,ST11,ST11,CG258,-,0.06,Non-functional,Functional,Sensitive,-,OmpK35-59%,-
EuSCAPE_SK027,ST11,ST11,CG258,-,0.06,Functional,Functional,Sensitive,-,-,-
EuSCAPE_SK048,ST11,ST11,CG258,-,0.06,Non-functional,Functional,Sensitive,-,OmpK35-18%,-
EuSCAPE_CZ014,ST11,ST11,CG258,-,0.06,Non-functional,Functional,Sensitive,-,OmpK35-59%,-
EuSCAPE_FR071,ST11,ST11,CG258,-,0.06,Functional,Functional,Sensitive,-,-,-
EuSCAPE_EE002,ST11,ST11,CG258,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_FR062,ST11,ST11,CG258,-,0.06,Functional,Functional,Sensitive,-,-,-
EuSCAPE_IT155,ST11,ST11,CG258,-,0.06,Functional,Functional,Sensitive,-,-,-
EuSCAPE_LV002,ST11,ST11,CG258,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_IT365,ST11,ST11,CG258,-,0.06,Non-functional,Functional,Sensitive,-,OmpK35-50%,-
EuSCAPE_HU027,ST11,ST11,CG258,-,0.06,Functional,Non-functional,Sensitive,-,OmpK36-0%,-
EuSCAPE_HU052,ST11,ST11,CG258,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_ES158,ST11,ST11,CG258,-,0.06,Functional,Functional,Sensitive,-,-,-
EuSCAPE_SK013,ST11,ST11,CG258,-,0.06,Functional,Functional,Sensitive,-,-,-
EuSCAPE_RO073,ST11,ST11,CG258,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_RO079,ST11,ST11,CG258,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_HR013,ST11,ST11,CG258,-,0.06,Functional,Functional,Unknown,-,-,-
EuSCAPE_PL028,ST11,ST11,CG258,-,0.12,Functional,Functional,Sensitive,MgrB-53%,-,-
EuSCAPE_PL031,ST11,ST11,CG258,-,0.12,Functional,Functional,Unknown,MgrB-53%,-,-
EuSCAPE_PL036,ST11,ST11,CG258,-,0.12,Functional,Functional,Unknown,MgrB-53%,-,-
EuSCAPE_PL060,ST11,ST11,CG258,-,0.12,Functional,Functional,Unknown,MgrB-53%,-,-
EuSCAPE_PL040,ST11,ST11,CG258,-,0.25,Functional,Functional,Unknown,MgrB-53%,-,-
EuSCAPE_PL032,ST11,ST11,CG258,-,0.5,Functional,Non-functional,Resistant,MgrB-53%,OmpK36-0%,-
EuSCAPE_PL038,ST11,ST11,CG258,-,2,Functional,Functional,Unknown,MgrB-53%,-,-
EuSCAPE_PL045,ST11,ST11,CG258,-,8,Functional,Non-functional,Resistant,MgrB-53%,OmpK36-0%,-
