"ST" "mean_vir" "mean_res" "total"
"719" "ST454" 0 0 1
"720" "ST458" 0 0 1
"721" "ST460" 0 0 1
"722" "ST461" 0 0.181818181818182 11
"723" "ST462" 0 0 3
"724" "ST463" 0 0 1
"725" "ST465" 0 0 1
"726" "ST466" 1 0 4
"727" "ST471" 0.0833333333333333 1 12
"728" "ST473-2LV" 0 0 5
"729" "ST473-3LV" 2.5 0 2
"730" "ST474" 0 1 1
"731" "ST474-1LV" 0 1 1
"732" "ST476" 0 1.83333333333333 6
"733" "ST476-2LV" 0 2 2
"734" "ST477" 0 1 3
"735" "ST478" 0 0 2
"736" "ST48" 1.27906976744186 0.802325581395349 86
"737" "ST48-1LV" 0 1 1
"738" "ST480" 0 0 2
"739" "ST480-2LV" 0 0 9
"740" "ST482" 0 1 1
"741" "ST483-2LV" 1 1 1
"742" "ST485" 0.857142857142857 0.714285714285714 7
"743" "ST486-3LV" 0 0 9
"744" "ST486-4LV" 0 1 2
"745" "ST487-1LV" 0 0 1
"746" "ST488-2LV" 0 0 1
"747" "ST489" 0 1 3
"748" "ST489-3LV" 0 0 1
"749" "ST490" 0 0.882352941176471 17
"750" "ST491" 0 1 4
"751" "ST493" 1 0 3
"752" "ST495" 0 1 2
"753" "ST495-1LV" 0 1 2
"754" "ST499" 1 0 1
"755" "ST5" 4 0 1
"756" "ST500" 0 0.666666666666667 3
"757" "ST502" 0.333333333333333 0 3
"758" "ST502-1LV" 0 0 3
"759" "ST503-1LV" 0 1 1
