ST,category,value
ST17,human,0.951388889
ST45,human,0.904761905
ST37,human,0.837209302
ST14,human,0.892655367
ST23,human,0.89893617
ST147,human,0.90212766
ST16,human,0.976284585
ST101,human,0.980544747
ST307,human,0.79766537
ST512,human,0.961852861
ST15,human,0.962962963
ST11,human,0.954935622
ST258,human,0.896794371
ST661,environment,0
ST65,environment,0
ST111,environment,0.054054054
ST392,environment,0
ST39,environment,0.026315789
ST336,environment,0
ST13,environment,0
ST874,environment,0.175
ST3128,environment,0.463414634
ST36,environment,0
ST152,environment,0
ST395,environment,0.021276596
ST25,environment,0
ST268,environment,0.066666667
ST86,environment,0.033333333
ST34,environment,0
ST323,environment,0.015384615
ST405,environment,0.01369863
ST20,environment,0.052631579
ST437,environment,0.038961039
ST48,environment,0
ST29,environment,0.010869565
ST35,environment,0.054347826
ST340,environment,0.020408163
ST231,environment,0.0625
ST17,environment,0.013888889
ST45,environment,0.011904762
ST37,environment,0.034883721
ST14,environment,0.005649718
ST23,environment,0.058510638
ST147,environment,0.038297872
ST16,environment,0
ST101,environment,0.007782101
ST307,environment,0.042801556
ST512,environment,0
ST15,environment,0.018518519
ST11,environment,0.006437768
ST258,environment,0.007818608
ST661,animal,0
ST65,animal,0.057142857
ST111,animal,0.027027027
ST392,animal,0
ST39,animal,0
ST336,animal,0
ST13,animal,0.05
ST874,animal,0
ST3128,animal,0.536585366
ST36,animal,0
ST152,animal,0
ST395,animal,0
ST25,animal,0.01754386
ST268,animal,0
ST86,animal,0.116666667
ST34,animal,0.016129032
ST323,animal,0
ST405,animal,0
ST20,animal,0
ST437,animal,0
ST48,animal,0.011494253
ST29,animal,0.010869565
ST35,animal,0.054347826
ST340,animal,0.020408163
ST231,animal,0.008928571
ST17,animal,0
ST45,animal,0.005952381
ST37,animal,0.040697674
ST14,animal,0
ST23,animal,0.015957447
ST147,animal,0.012765957
ST16,animal,0
ST101,animal,0
ST307,animal,0.011673152
ST512,animal,0
ST15,animal,0
ST11,animal,0.006437768
ST258,animal,0
ST661,food,0
ST65,food,0
ST111,food,0.027027027
ST392,food,0
ST39,food,0.026315789
ST336,food,0
ST13,food,0
ST874,food,0
ST3128,food,0
ST36,food,0
ST152,food,0
ST395,food,0
ST25,food,0
ST268,food,0
ST86,food,0
ST34,food,0.016129032
ST323,food,0
ST405,food,0
ST20,food,0.013157895
ST437,food,0
ST48,food,0
ST29,food,0.010869565
ST35,food,0
ST340,food,0
ST231,food,0
ST17,food,0
ST45,food,0.017857143
ST37,food,0.011627907
ST14,food,0.039548023
ST23,food,0
ST147,food,0
ST16,food,0
ST101,food,0
ST307,food,0.003891051
